,index,smiles
97,17797,[H][C@]12CC[C@]3(C)[C@@H](O)[C@H](O)C[C@@]3([H])[C@]1([H])CCc1cc(O)ccc12
98,17803,CN(CC(=O)O)C(=N)N
99,17854,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1
100,18008,N[C@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
101,18255,O=[N+]([O-])c1nccn1CC(O)C[18F]
102,18371,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
103,18382,O=C(O)CCCCCCCC(=O)O
104,18674,[H][C@]12OC[C@@H](O[N+](=O)[O-])[C@@]1([H])OC[C@@H]2O[N+](=O)[O-]
105,18689,Nc1nc(OCc2ccccc2)c2nc[nH]c2n1
106,18937,O=C(O)Cn1c2ccccc2c(=O)c2ccccc21
107,18948,OC[C@H]1CNC[C@@H](O)[C@@H]1O
108,19422,Nc1ccc(C(=O)O)cc1
109,19990,[H][C@@]12CC[C@@]3(C)OO[C@@]14[C@@]([H])(CC[C@H]2C)[C@@H](C)[C@@H](OCC)O[C@]4([H])O3
110,20593,CNNCc1ccc(C(=O)NC(C)C)cc1
111,20677,O=C(O)O
112,20918,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@]1(F)[C@@]3(C)C=CC(=O)C=C3[C@@H](F)C[C@@]21[H]
113,20935,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
114,20940,NCCc1ccc(O)c(O)c1
115,21470,Oc1cc(O)c(Cl)cn1
116,21608,CN1CCCC1c1cccnc1
117,21819,CC(N)Cc1ccc2c(c1)OCO2
118,22070,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1
119,22182,COC(=O)/C=C/C(=O)O
120,22822,CC1(C)CCC(NC(=O)[C@@H](N)CCC(=O)O)CC1
121,23351,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)C(C)=CC(=O)C=C3CC[C@@]21[H]
122,23433,O=C(O)[C@@H](O)[C@H](O)C(=O)O
123,23664,O=C(O)CSCC(=O)NC1CCSC1=O
124,24089,OC(CNc1ccccn1)c1ccccc1
125,24304,CN(C)C[C@@H]1CCCC[C@H]1c1cccc(O)c1
126,24349,CCCCC1(CC)C(=O)NC(=O)NC1=O
127,24537,Cc1cc(=O)oc2cc(O)ccc12
128,24825,Nc1ccncc1N
129,24933,CCCCOC(=O)c1ccc(N)cc1
130,25175,OC(CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1
131,25512,NCCc1cc[nH]n1
132,25597,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
133,25724,COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1
134,26165,Nc1cc(-c2ccncc2)c[nH]c1=O
135,26166,CC(=O)NCCCS(=O)(=O)O
136,26310,O=C1N[C@H](C(=O)O)CS1
137,26512,C(COCCOCC1CO1)OCCOCC1CO1
138,26633,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O
139,27135,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O
140,27205,O=C(O)CCCCCCCNC(=O)c1ccccc1O
141,27430,[H][C@@]12CCCCN1C[C@@]1([H])C[C@]2([H])CN2CCCC[C@@]21[H]
142,27478,NCCCCC(=O)O
143,27753,NCCS
144,27879,Oc1ccccc1
145,28037,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
146,28065,CCCCNCC(O)c1ccc(O)cc1
147,28402,[H][C@@]12CC[C@@](O)(CC)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
148,28439,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
149,28443,N[C@@H](CC(=O)O)C(=O)O
150,28928,O=C(O)CC(O)(CC(=O)O)C(=O)O
151,29172,NC(=O)NC(=O)Cc1ccccc1
152,29186,O=C(Nc1ccc(O)cc1)c1ccccc1O
153,29211,N=C(N)NCc1cccc(I)c1
154,29346,O=C(CBr)N1CC([N+](=O)[O-])([N+](=O)[O-])C1
155,29427,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1
156,30136,C#CCOc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC
157,30145,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
158,30173,CCOC(=O)[C@@H](N)Cc1ccc(O)c(O)c1
159,30634,CN(C)c1nc(N(C)C)nc(N(C)C)n1
160,31070,Cc1c(N)cccc1Cn1ccc(OCCc2cccs2)cc1=O
161,31555,OCC(S)CS
162,32420,N=C1NC(=O)N2CC12
163,32975,O=C(O)P(=O)(O)O
164,33375,[H][C@]12C[C@@H](O)[C@H](/C=C/[C@@H](O)CCCCC)[C@@]1([H])C/C(=C/CCCC(=O)O)O2
165,33734,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
166,33835,O=C(O)[C@H](S)[C@H](S)C(=O)O
167,34026,FC(F)(F)C(Cl)Br
168,34124,O=C1N[C@H](O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
169,34148,O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1
170,34199,CC(NN)c1ccccc1
171,34238,N=C(N)NCC1COC2(CCCCC2)O1
172,34306,CC(N)Cc1ccccc1
173,34550,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)c(O)c1O
174,34791,NC[C@@H](F)C[PH](=O)O
175,34935,[O-][n+]1ccc(O)c(O)c1-c1c(O)c(O)cc[n+]1[O-]
