"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4650352";"THK-5351";"J3.349.111E|THK-5351";"Small molecule";"2.0";"327.36";"1";"2";"3.05";"67.27";"5";"2";"0";"6";"N";"0.73";"13.35";"5.78";"2.43";"2.42";"3";"MOL";"0";"24";"5";"2";"0";"327.1383";"-1.00";"NEUTRAL";"C18H18FN3O2";"CNc1ccc(-c2ccc3cc(OC[C@H](O)CF)ccc3n2)cn1";"DLVXFZWSPCOWSN-CQSZACIVSA-N"
"CHEMBL4297260";"AMY-101";"AMY 101|AMY-101|COMPSTATIN 40|COMPSTATIN ANALOG PEPTIDE CP40";"Protein";"2.0";"1789.13";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1787.8388";"None";"None";"C83H117N23O18S2";"CC[C@H](C)[C@H](NC(=O)[C@H](N)Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)N(C)[C@H](C(N)=O)[C@@H](C)CC)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](C(C)C)NC1=O";"MUSGYEMSJUFFHT-UWABRSFTSA-N"
"CHEMBL1232461";"MOLIBRESIB";"BET INHIBITOR GSK525762|GSK-525762|GSK-525762A|GSK525762|GSK525762A|I-BET 762|MOLIBRESIB|Molibresib";"Small molecule";"2.0";"423.90";"56";"273";"3.66";"81.40";"6";"1";"0";"5";"N";"0.68";"None";"4.36";"2.57";"2.57";"3";"MOL";"0";"30";"7";"1";"0";"423.1462";"-0.99";"NEUTRAL";"C22H22ClN5O2";"CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21";"AAAQFGUYHFJNHI-SFHVURJKSA-N"
"CHEMBL412309";"AR-67";"AR-67|AR67|DB 67|DB-67|NSC-708298|SILATECAN";"Small molecule";"2.0";"478.62";"65";"74";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"478.1924";"None";"None";"C26H30N2O5Si";"CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(O)cc1c2[Si](C)(C)C(C)(C)C";"XUSKJHCMMWAAHV-SANMLTNESA-N"
"CHEMBL4802158";"LARSUCOSTEROL";"25HC3S|DUR 928|DUR-928|DUR928|DV-928|LARSUCOSTEROL";"Small molecule";"2.0";"482.73";"";"";"6.33";"83.83";"4";"2";"1";"7";"N";"0.33";"-1.61";"None";"4.33";"3.32";"0";"MOL";"0";"33";"5";"2";"1";"482.3066";"2.49";"ACID";"C27H46O5S";"C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C";"PIUZYOCNZPYXOA-ZHHJOTBYSA-N"
"CHEMBL5095242";"NINERAFAXSTAT";"IMB-1018972|NINERAFAXSTAT";"Small molecule";"2.0";"415.49";"";"";"2.08";"73.36";"8";"0";"0";"9";"N";"0.58";"None";"6.70";"1.88";"1.80";"2";"MOL";"0";"30";"8";"0";"0";"415.2107";"-0.86";"NEUTRAL";"C22H29N3O5";"COc1ccc(CN2CCN(CCOC(=O)c3cccnc3)CC2)c(OC)c1OC";"AGVJLPKGBKSLKF-UHFFFAOYSA-N"
"CHEMBL4300766";"P";"";"Small molecule";"2.0";"280.33";"";"";"-0.02";"82.05";"7";"1";"0";"5";"N";"0.78";"None";"None";"0.20";"0.20";"2";"MOL";"0";"20";"7";"1";"0";"280.1535";"-0.59";"NEUTRAL";"C13H20N4O3";"C[C@H](O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O";"NSMXQKNUPPXBRG-VIFPVBQESA-N"
"CHEMBL3264610";"SEVITERONEL";"SEVITERONEL|VT-464";"Small molecule";"2.0";"399.34";"4";"11";"4.05";"80.26";"5";"2";"0";"7";"N";"0.59";"8.54";"None";"4.86";"4.83";"3";"MOL";"0";"28";"6";"2";"0";"399.1206";"-0.84";"NEUTRAL";"C18H17F4N3O3";"CC(C)[C@](O)(c1ccc2cc(OC(F)F)c(OC(F)F)cc2c1)c1c[nH]nn1";"ZBRAJOQFSNYJMF-SFHVURJKSA-N"
"CHEMBL2109562";"CAL";"CAL";"Antibody";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL134713";"GTS-21";"3-(2,4-Dimethoxybenzylidene)Anabaseine|DIMETHOXYBENZYLIDENE ANABASEINE|DMXB-A|GTS-21";"Small molecule";"2.0";"308.38";"14";"55";"3.77";"43.71";"4";"0";"0";"4";"N";"0.86";"None";"4.46";"2.96";"2.96";"2";"MOL";"0";"23";"4";"0";"0";"308.1525";"-0.50";"NEUTRAL";"C19H20N2O2";"COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(OC)c1";"RPYWXZCFYPVCNQ-RVDMUPIBSA-N"
"CHEMBL4297704";"BMS-986012";"BMS-986012";"Unknown";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL4297470";"MAX-40279";"MAX-40279";"Small molecule";"2.0";"438.53";"";"";"4.68";"76.89";"8";"2";"0";"5";"N";"0.47";"10.65";"9.89";"3.26";"1.18";"4";"MOL";"0";"31";"7";"2";"0";"438.1638";"-1.31";"BASE";"C22H23FN6OS";"COc1cc(F)ccc1-c1c(C)sc2cnc(Nc3cnn(C4CCNCC4)c3)nc12";"AVIOBQFPAGEICQ-UHFFFAOYSA-N"
"CHEMBL3545039";"AZD1386";"AZD 1386|AZD-1386|AZD1386";"Small molecule";"2.0";"423.78";"";"";"3.25";"78.51";"3";"2";"0";"2";"N";"0.57";"8.35";"None";"3.39";"3.34";"2";"MOL";"0";"29";"6";"2";"0";"423.0598";"-1.30";"NEUTRAL";"C19H13ClF3N3O3";"Cc1cc(Cl)cc2c1N(Cc1cccc(C(F)(F)F)c1)C(=O)C21NC(=O)NC1=O";"DXDVSYALLVVBOV-UHFFFAOYSA-N"
