"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL627";"AMITRIPTYLINOXIDE";"AMBIVALON|AMITRIPTYLINE OXIDE|AMITRIPTYLINE-N-OXIDE|AMITRIPTYLINOXIDE|AMITRYPTYLINE-N-OXIDE|EQUILIBRIN|J9.621K";"Small molecule";"3.0";"293.41";"10";"16";"4.18";"23.06";"1";"0";"0";"3";"N";"0.61";"None";"4.43";"3.69";"3.69";"2";"MOL";"0";"22";"2";"0";"0";"293.1780";"0.45";"NEUTRAL";"C20H23NO";"C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21";"ZPMKQFOGINQDAM-UHFFFAOYSA-N"
"CHEMBL4297653";"BARIUM";"BARIUM";"Small molecule";"3.0";"137.33";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"1";"None";"None";"None";"None";"137.9052";"None";"None";"Ba";"[Ba]";"DSAJWYNOEDNPEQ-UHFFFAOYSA-N"
"CHEMBL4804173";"FLORQUINITAU";"FLORQUINITAU|MK-6240";"Small molecule";"3.0";"278.29";"";"";"3.30";"56.73";"4";"1";"0";"1";"N";"0.54";"None";"5.32";"2.42";"2.41";"4";"MOL";"0";"21";"4";"2";"0";"278.0968";"-1.30";"NEUTRAL";"C16H11FN4";"Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12";"KAXAUWZJVWGFDO-UHFFFAOYSA-N"
"CHEMBL258405";"ICILLIN";"ICILLIN|Icilin";"Small molecule";"3.0";"311.30";"30";"57";"2.87";"95.71";"4";"2";"0";"3";"N";"0.67";"8.63";"None";"2.17";"2.15";"2";"MOL";"0";"23";"7";"2";"0";"311.0906";"-0.66";"NEUTRAL";"C16H13N3O4";"O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O";"RCEFMOGVOYEGJN-UHFFFAOYSA-N"
"CHEMBL592943";"TINORIDINE";"NSC-158555|TINORIDINE|TINORIDINE HYDROCHLORIDE|Y 3642|Y-3642";"Small molecule";"3.0";"316.43";"20";"56";"3.07";"55.56";"5";"1";"0";"4";"N";"0.88";"None";"7.51";"3.94";"3.58";"2";"MOL";"0";"22";"4";"2";"0";"316.1245";"-1.46";"NEUTRAL";"C17H20N2O2S";"CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2";"PFENFDGYVLAFBR-UHFFFAOYSA-N"
"CHEMBL2107338";"EPRODISATE DISODIUM";"DISODIUM EPRODISATE|EPRODISATE DISODIUM|KIACTA|NC-503|NSC-240395|NSC-760403";"Small molecule";"3.0";"248.19";"3";"5";"-0.85";"108.74";"4";"2";"0";"4";"N";"0.58";"-1.97";"None";"-1.73";"-6.48";"0";"MOL";"0";"11";"6";"2";"0";"203.9762";"0.06";"ACID";"C3H6Na2O6S2";"O=S(=O)([O-])CCCS(=O)(=O)[O-].[Na+].[Na+]";"DKGJFKPIUSHDIT-UHFFFAOYSA-L"
"CHEMBL2107751";"FLUORESCEIN LISICOL";"CHOLYL-LYSL-FLUORESCEIN|FLUORESCEIN LISICOL|NRL-972|NRL972";"Small molecule";"3.0";"926.14";"";"";"7.07";"227.14";"11";"9";"4";"12";"N";"0.05";"3.93";"None";"6.34";"3.12";"3";"MOL";"0";"66";"14";"9";"4";"925.4183";"1.04";"ACID";"C51H63N3O11S";"C[C@H](CCC(=O)N[C@@H](CCCCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C";"KHNJPPGHIWPDLG-DXNXUNFASA-N"
"CHEMBL2105561";"SURICLONE";"CELEXANE|RP 31264|RP-31264|SURICLONE|SURIL";"Small molecule";"3.0";"478.00";"";"";"3.03";"78.87";"8";"0";"0";"2";"N";"0.61";"4.55";"6.92";"-0.26";"-0.72";"2";"MOL";"0";"31";"8";"0";"0";"477.0696";"-0.81";"ACID";"C20H20ClN5O3S2";"CN1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1";"RMXOUBDDDQUBKD-UHFFFAOYSA-N"
"CHEMBL2105019";"LIFIBROL";"K 12148|K-12148|LIFIBROL";"Small molecule";"3.0";"342.44";"2";"19";"4.05";"66.76";"3";"2";"0";"7";"N";"0.80";"4.36";"None";"4.85";"1.93";"2";"MOL";"0";"25";"4";"2";"0";"342.1831";"-0.22";"ACID";"C21H26O4";"CC(C)(C)c1ccc(CCC(O)COc2ccc(C(=O)O)cc2)cc1";"LNXBEIZREVRNTF-UHFFFAOYSA-N"
"CHEMBL1909275";"F-18";"F-18";"Small molecule";"3.0";"19.01";"2";"4";"0.15";"0.00";"0";"0";"0";"0";"Y";"0.35";"3.17";"None";"0.15";"0.37";"0";"MOL";"0";"1";"0";"0";"0";"20.0062";"0.00";"ACID";"HF";"[18FH]";"KRHYYFGTRYWZRS-BJUDXGSMSA-N"
"CHEMBL111272";"M-FLUOROBENZYLGUANIDINE";"";"Small molecule";"3.0";"167.19";"1";"4";"0.81";"61.90";"1";"3";"0";"2";"N";"0.45";"None";"12.11";"0.91";"-1.51";"1";"MOL";"0";"12";"3";"4";"0";"167.0859";"-1.47";"BASE";"C8H10FN3";"N=C(N)NCc1cccc(F)c1";"HNPHEZIYSZIWHH-UHFFFAOYSA-N"
"CHEMBL2105006";"IODOL";"IODOL|IODOPYRROLE|NSC-36714";"Small molecule";"3.0";"570.67";"";"";"3.43";"15.79";"0";"1";"1";"0";"N";"0.46";"10.96";"None";"4.78";"4.78";"1";"MOL";"0";"9";"1";"1";"1";"570.6288";"-0.17";"NEUTRAL";"C4HI4N";"Ic1[nH]c(I)c(I)c1I";"VJOVAKSZILJDBB-UHFFFAOYSA-N"
"CHEMBL1201389";"LOTEPREDNOL";"LOTEPREDNOL";"Small molecule";"3.0";"346.42";"1";"1";"2.08";"94.83";"4";"3";"0";"1";"N";"0.68";"4.07";"None";"1.76";"-1.35";"0";"MOL";"0";"25";"5";"3";"0";"346.1780";"2.56";"ACID";"C20H26O5";"C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)O";"MCKJPJYRCPANCC-XLXYOEISSA-N"
"CHEMBL1322218";"PROCATEROL HYDROCHLORIDE";"CI-888|PROCATEROL HYDROCHLORIDE|Pro-Air";"Small molecule";"3.0";"326.82";"20";"23";"2.04";"85.35";"4";"4";"0";"5";"N";"0.68";"8.52";"9.88";"0.88";"-0.08";"2";"MOL";"0";"21";"5";"4";"0";"290.1630";"0.50";"BASE";"C16H23ClN2O3";"CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12.Cl";"AEQDBKHAAWUCMT-UHFFFAOYSA-N"
"CHEMBL2107014";"QUINFAMIDE";"Amenide|QUINFAMIDE|WIN 40014|WIN-40014";"Small molecule";"3.0";"354.19";"4";"7";"3.58";"59.75";"4";"0";"0";"3";"N";"0.48";"13.07";"None";"3.56";"3.56";"2";"MOL";"0";"23";"5";"0";"0";"353.0222";"-1.16";"NEUTRAL";"C16H13Cl2NO4";"O=C(Oc1ccc2c(c1)CCCN2C(=O)C(Cl)Cl)c1ccco1";"SBJGFIXQRZOVTO-UHFFFAOYSA-N"
"CHEMBL2108584";"COMFILCON A";"COMFILCON A|NFB-02";"Small molecule";"3.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1374101";"POTASSIUM DICHROMATE ";"POTASSIUM DICHROMATE ";"Small molecule";"3.0";"294.18";"21";"65";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"1";"None";"None";"None";"None";"293.7728";"None";"None";"Cr2K2O7";"";""
"CHEMBL2108539";"POLYGLACTIN 910";"POLYGLACTIN 910|Vicryl|XLG";"Small molecule";"3.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
